origin_city,destination_city,date,price,stops,duration_minutes,airline,booking_link
NYC,TYO,2025-12-01,1380,0,,,
NYC,TYO,2025-12-02,1330,0,,,
NYC,TYO,2025-12-03,1330,0,,,
NYC,TYO,2025-12-04,1390,0,,,
NYC,TYO,2025-12-05,1440,0,,,
NYC,TYO,2025-12-06,1440,0,,,
NYC,TYO,2025-12-07,1380,0,,,
NYC,TYO,2025-12-08,1330,0,,,
NYC,TYO,2025-12-09,1520,0,,,
NYC,TYO,2025-12-10,1520,0,,,
NYC,TYO,2025-12-11,1860,0,,,
NYC,TYO,2025-12-12,2100,0,,,
NYC,TYO,2025-12-13,2110,0,,,
NYC,TYO,2025-12-14,1760,0,,,
NYC,TYO,2025-12-15,1760,0,,,
NYC,TYO,2025-12-16,2010,0,,,
NYC,TYO,2025-12-17,2330,0,,,
NYC,TYO,2025-12-18,2400,0,,,
NYC,TYO,2025-12-19,3540,0,,,
NYC,TYO,2025-12-20,3540,0,,,
NYC,TYO,2025-12-21,3370,0,,,
NYC,TYO,2025-12-22,3370,0,,,
NYC,TYO,2025-12-23,2070,0,,,
NYC,TYO,2025-12-24,2010,0,,,
NYC,TYO,2025-12-25,1860,0,,,
NYC,TYO,2025-12-26,1860,0,,,
NYC,TYO,2025-12-27,1700,0,,,
NYC,TYO,2025-12-28,1380,0,,,
NYC,TYO,2025-12-29,1380,0,,,
NYC,TYO,2025-12-30,1380,0,,,
NYC,TYO,2025-12-31,1380,0,,,

NYC,TPE,2025-12-01,2070,0,,,
NYC,TPE,2025-12-02,1480,0,,,
NYC,TPE,2025-12-03,1550,0,,,
NYC,TPE,2025-12-04,1480,0,,,
NYC,TPE,2025-12-05,1590,0,,,
NYC,TPE,2025-12-06,1300,0,,,
NYC,TPE,2025-12-07,1510,0,,,
NYC,TPE,2025-12-08,2070,0,,,
NYC,TPE,2025-12-09,1650,0,,,
NYC,TPE,2025-12-10,1740,0,,,
NYC,TPE,2025-12-11,1650,0,,,
NYC,TPE,2025-12-12,2320,0,,,
NYC,TPE,2025-12-13,2990,0,,,
NYC,TPE,2025-12-14,2990,0,,,
NYC,TPE,2025-12-15,2960,0,,,
NYC,TPE,2025-12-16,2960,0,,,
NYC,TPE,2025-12-17,2960,0,,,
NYC,TPE,2025-12-18,2960,0,,,
NYC,TPE,2025-12-19,2960,0,,,
NYC,TPE,2025-12-20,3030,0,,,
NYC,TPE,2025-12-21,3030,0,,,
NYC,TPE,2025-12-22,2960,0,,,
NYC,TPE,2025-12-23,2190,0,,,
NYC,TPE,2025-12-24,2960,0,,,
NYC,TPE,2025-12-25,1980,0,,,
NYC,TPE,2025-12-26,2110,0,,,
NYC,TPE,2025-12-27,2020,0,,,
NYC,TPE,2025-12-28,1510,0,,,
NYC,TPE,2025-12-29,2070,0,,,
NYC,TPE,2025-12-30,1260,0,,,
NYC,TPE,2025-12-31,1330,0,,,

NYC,HKG,2025-12-01,1890,0,,,
NYC,HKG,2025-12-02,1890,0,,,
NYC,HKG,2025-12-03,1890,0,,,
NYC,HKG,2025-12-04,1890,0,,,
NYC,HKG,2025-12-05,1950,0,,,
NYC,HKG,2025-12-06,2240,0,,,
NYC,HKG,2025-12-07,1950,0,,,
NYC,HKG,2025-12-08,2130,0,,,
NYC,HKG,2025-12-09,2130,0,,,
NYC,HKG,2025-12-10,2130,0,,,
NYC,HKG,2025-12-11,2130,0,,,
NYC,HKG,2025-12-12,2190,0,,,
NYC,HKG,2025-12-13,2660,0,,,
NYC,HKG,2025-12-14,2370,0,,,
NYC,HKG,2025-12-15,2310,0,,,
NYC,HKG,2025-12-16,2600,0,,,
NYC,HKG,2025-12-17,2600,0,,,
NYC,HKG,2025-12-18,5210,0,,,
NYC,HKG,2025-12-19,5210,0,,,
NYC,HKG,2025-12-20,5210,0,,,
NYC,HKG,2025-12-21,2660,0,,,
NYC,HKG,2025-12-22,2600,0,,,
NYC,HKG,2025-12-23,2310,0,,,
NYC,HKG,2025-12-24,2310,0,,,
NYC,HKG,2025-12-25,2420,0,,,
NYC,HKG,2025-12-26,2480,0,,,
NYC,HKG,2025-12-27,2480,0,,,
NYC,HKG,2025-12-28,2190,0,,,
NYC,HKG,2025-12-29,2130,0,,,
NYC,HKG,2025-12-30,2130,0,,,
NYC,HKG,2025-12-31,2130,0,,,

TYO,NYC,2026-01-01,2540,0,,,
TYO,NYC,2026-01-02,3050,0,,,
TYO,NYC,2026-01-03,3900,0,,,
TYO,NYC,2026-01-04,3460,0,,,
TYO,NYC,2026-01-05,2470,0,,,
TYO,NYC,2026-01-06,2470,0,,,
TYO,NYC,2026-01-07,2380,0,,,
TYO,NYC,2026-01-08,2380,0,,,
TYO,NYC,2026-01-09,2380,0,,,
TYO,NYC,2026-01-10,2570,0,,,
TYO,NYC,2026-01-11,2570,0,,,
TYO,NYC,2026-01-12,2470,0,,,
TYO,NYC,2026-01-13,2330,0,,,
TYO,NYC,2026-01-14,2330,0,,,
TYO,NYC,2026-01-15,2330,0,,,
TYO,NYC,2026-01-16,2380,0,,,
TYO,NYC,2026-01-17,2570,0,,,
TYO,NYC,2026-01-18,2570,0,,,
TYO,NYC,2026-01-19,2470,0,,,
