origin_city,destination_city,date,price,stops,duration_minutes,airline,booking_link
NYC,TYO,2025-12-06,705,0,,, 
NYC,TYO,2025-12-07,640,0,,,
NYC,TYO,2025-12-09,835,0,,,
NYC,TYO,2025-12-12,900,0,,,
NYC,TYO,2025-12-13,998,0,,,
NYC,TYO,2025-12-19,1710,0,,,
NYC,TYO,2025-12-25,809,0,,,
NYC,TYO,2025-12-26,705,0,,,
NYC,TYO,2025-12-28,640,0,,,
NYC,TYO,2025-12-31,640,0,,,

NYC,HKG,2025-12-01,855,0,,,
NYC,HKG,2025-12-06,915,0,,,
NYC,HKG,2025-12-10,1040,0,,,
NYC,HKG,2025-12-12,1440,0,,,
NYC,HKG,2025-12-17,1470,0,,,
NYC,HKG,2025-12-21,1870,0,,,
NYC,HKG,2025-12-24,1110,0,,,
NYC,HKG,2025-12-26,1100,0,,,
NYC,HKG,2025-12-28,1100,0,,,
NYC,HKG,2025-12-31,1040,0,,,

NYC,TPE,2025-12-02,760,0,,,
NYC,TPE,2025-12-06,952,0,,,
NYC,TPE,2025-12-10,1270,0,,,
NYC,TPE,2025-12-12,1780,0,,,
NYC,TPE,2025-12-16,1660,0,,,
NYC,TPE,2025-12-21,2120,0,,,
NYC,TPE,2025-12-24,1750,0,,,
NYC,TPE,2025-12-26,1480,0,,,
NYC,TPE,2025-12-30,760,0,,,
NYC,TPE,2025-12-31,942,0,,,

NYC,SHA,2025-12-01,1010,0,,,
NYC,SHA,2025-12-03,1010,0,,,
NYC,SHA,2025-12-10,1270,0,,,
NYC,SHA,2025-12-15,1860,0,,,
NYC,SHA,2025-12-17,2170,0,,,
NYC,SHA,2025-12-24,1460,0,,,
NYC,SHA,2025-12-29,1170,0,,,
NYC,SHA,2025-12-31,1170,0,,,

TYO,NYC,2026-01-20,453,0,,,
TYO,NYC,2026-01-21,453,0,,,
TYO,NYC,2026-01-24,609,0,,,

HKG,NYC,2026-01-18,1100,0,,,
HKG,NYC,2026-01-21,1070,0,,,
HKG,NYC,2026-01-30,1100,0,,,

TPE,NYC,2026-01-20,839,0,,,
TPE,NYC,2026-01-21,839,0,,,
TPE,NYC,2026-01-25,864,0,,,

SHA,NYC,2026-01-21,1570,0,,,
SHA,NYC,2026-01-27,1190,0,,,

TYO,HKG,2025-12-10,81,0,,,
TYO,HKG,2025-12-12,83,0,,,
TYO,HKG,2025-12-20,81,0,,,
TYO,HKG,2025-12-27,338,0,,,
TYO,HKG,2026-01-21,81,0,,,
TYO,HKG,2026-01-25,85,0,,,

HKG,TYO,2025-12-01,75,0,,,
HKG,TYO,2025-12-12,103,0,,,
HKG,TYO,2025-12-27,154,0,,,
HKG,TYO,2026-01-21,75,0,,,

HKG,TPE,2025-12-01,64,0,,,
HKG,TPE,2025-12-10,64,0,,,
HKG,TPE,2025-12-20,103,0,,,
HKG,TPE,2025-12-28,95,0,,,
HKG,TPE,2026-01-21,67,0,,,

TPE,HKG,2025-12-04,48,0,,,
TPE,HKG,2025-12-16,48,0,,,
TPE,HKG,2025-12-19,48,0,,,
TPE,HKG,2025-12-25,53,0,,,
TPE,HKG,2026-01-21,48,0,,,

TPE,SHA,2025-12-01,134,0,,,
TPE,SHA,2025-12-10,110,0,,,
TPE,SHA,2025-12-25,134,0,,,
TPE,SHA,2026-01-21,141,0,,,
TPE,SHA,2026-01-25,82,0,,,

SHA,TPE,2025-12-02,69,0,,,
SHA,TPE,2025-12-10,69,0,,,
SHA,TPE,2025-12-21,69,0,,,
SHA,TPE,2026-01-21,151,0,,,
SHA,TPE,2026-01-27,98,0,,,

